         1365951 function calls (1341936 primitive calls) in 133.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.002    0.000  122.354    1.375 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:777(run)
       89    0.322    0.004  122.353    1.375 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1021(_run)
       89    0.002    0.000  121.524    1.365 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1246(_do_run)
       89    0.000    0.000  121.508    1.365 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1290(_do_call)
       89    0.166    0.002  121.507    1.365 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1273(_run_fn)
       89    0.040    0.000  121.273    1.363 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1363(_call_tf_sessionrun)
       89  121.233    1.362  121.233    1.362 {built-in method _pywrap_tensorflow_internal.TF_SessionRun_wrapper}
        2    0.012    0.006   67.210   33.605 /home/sujithpk/Desktop/road/src/cnn_model.py:294(get_prediction_with_overlay)
        2    0.668    0.334   63.746   31.873 /home/sujithpk/Desktop/road/src/cnn_model.py:265(get_prediction)
        1    0.000    0.000    2.954    2.954 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1528(__exit__)
        1    0.000    0.000    2.935    2.935 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:675(close)
        1    2.935    2.935    2.935    2.935 {built-in method _pywrap_tensorflow_internal.TF_CloseSession}
  936/857    0.021    0.000    1.555    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/deprecation.py:454(new_func)
        8    0.000    0.000    1.432    0.179 /usr/local/lib/python3.5/dist-packages/PIL/Image.py:1892(save)
  644/641    0.080    0.000    1.340    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/op_def_library.py:339(_apply_op_helper)
      890    0.023    0.000    1.307    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:3191(create_op)
      890    0.041    0.000    1.108    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1655(__init__)
      246    0.007    0.000    1.040    0.004 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/constant_op.py:116(constant)
       19    0.988    0.052    0.988    0.052 {built-in method io.open}
      890    0.029    0.000    0.875    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1587(_create_c_op)
        1    0.000    0.000    0.872    0.872 /home/sujithpk/Desktop/road/src/functions.py:133(extract_data)
        4    0.002    0.000    0.722    0.181 /home/sujithpk/Desktop/road/src/cnn_model.py:319(make_img_overlay)
    21120    0.717    0.000    0.717    0.000 {built-in method numpy.core.multiarray.array}
      246    0.001    0.000    0.689    0.003 /usr/local/lib/python3.5/dist-packages/numpy/core/numeric.py:433(asarray)
        1    0.000    0.000    0.539    0.539 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/optimizer.py:352(minimize)
        4    0.477    0.119    0.484    0.121 /home/sujithpk/Desktop/road/src/cnn_model.py:321(img_float_to_uint8)
        3    0.402    0.134    0.479    0.160 /home/sujithpk/Desktop/road/src/functions.py:26(zero_center)
        4    0.000    0.000    0.453    0.113 /usr/lib/python3/dist-packages/scipy/misc/pilutil.py:158(imsave)
        3    0.000    0.000    0.423    0.141 /home/sujithpk/Desktop/road/src/cnn_model.py:409(model)
        2    0.000    0.000    0.387    0.193 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/deprecation.py:293(new_func)
      105    0.359    0.003    0.359    0.003 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.352    0.176 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gradients_impl.py:506(gradients)
        2    0.005    0.003    0.352    0.176 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gradients_impl.py:599(_GradientsHelper)
      246    0.165    0.001    0.346    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/tensor_util.py:356(make_tensor_proto)
        1    0.000    0.000    0.345    0.345 /home/sujithpk/Desktop/road/src/functions.py:178(extract_labels)
    86/43    0.000    0.000    0.332    0.008 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variables.py:143(__call__)
       43    0.000    0.000    0.332    0.008 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variables.py:104(_variable_call)
       43    0.000    0.000    0.331    0.008 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variables.py:120(<lambda>)
       43    0.001    0.000    0.331    0.008 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:2402(default_variable_creator)
        1    0.000    0.000    0.329    0.329 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/optimizer.py:526(apply_gradients)
       43    0.000    0.000    0.329    0.008 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variables.py:1016(__init__)
       43    0.003    0.000    0.329    0.008 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variables.py:1115(_init_from_args)
     2039    0.325    0.000    0.325    0.000 {built-in method _pywrap_tensorflow_internal.TF_SetAttrValueProto}
        4    0.154    0.039    0.301    0.075 /home/sujithpk/Desktop/road/src/cnn_model.py:341(pixels_to_patches)
        8    0.000    0.000    0.293    0.037 /usr/local/lib/python3.5/dist-packages/PIL/PngImagePlugin.py:689(_save)
     8941    0.018    0.000    0.291    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/fromnumeric.py:2817(mean)
        1    0.000    0.000    0.289    0.289 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:2349(run)
        1    0.000    0.000    0.289    0.289 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5158(_run_using_default_session)
      890    0.288    0.000    0.288    0.000 {built-in method _pywrap_tensorflow_internal.TF_FinishOperation}
     8941    0.118    0.000    0.273    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/_methods.py:58(_mean)
        1    0.000    0.000    0.268    0.268 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/adam.py:120(_create_slots)
     4431    0.258    0.000    0.258    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/pywrap_tensorflow_internal.py:971(<lambda>)
        2    0.254    0.127    0.254    0.127 /home/sujithpk/Desktop/road/src/cnn_model.py:310(label_to_img)
       24    0.000    0.000    0.254    0.011 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/optimizer.py:1123(_zeros_slot)
       24    0.000    0.000    0.252    0.011 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/slot_creator.py:163(create_zeros_slot)
       24    0.001    0.000    0.252    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/slot_creator.py:123(create_slot_with_initializer)
        8    0.000    0.000    0.250    0.031 /usr/local/lib/python3.5/dist-packages/PIL/ImageFile.py:463(_save)
       16    0.247    0.015    0.247    0.015 {method 'encode' of 'ImagingEncoder' objects}
       24    0.000    0.000    0.240    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/slot_creator.py:51(_create_slot_var)
       24    0.000    0.000    0.239    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:1452(get_variable)
       24    0.000    0.000    0.238    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:1164(get_variable)
       24    0.000    0.000    0.236    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:262(get_variable)
24651/14103    0.020    0.000    0.231    0.000 {built-in method builtins.next}
       24    0.000    0.000    0.230    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:414(_true_getter)
        8    0.027    0.003    0.230    0.029 /usr/local/lib/python3.5/dist-packages/PIL/Image.py:2457(fromarray)
       24    0.001    0.000    0.230    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:795(_get_single_variable)
       84    0.001    0.000    0.213    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gradients_impl.py:383(_MaybeCompile)
        2    0.213    0.106    0.213    0.106 /home/sujithpk/Desktop/road/src/cnn_model.py:297(label_to_binary_img)
